location_clean,price_myr,size_sqft,rooms_num,bathrooms_num,carparks_num,property_base,property_subtype,furnishing_clean
Damansara Heights,1770000.0,1152.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Mont Kiara,1860000.0,2070.0,4,4,2,Condominium,Corner,Partly Furnished
KLCC,1450000.0,1050.0,2,2,1,Serviced Residence,Corner,Fully Furnished
Jalan Klang Lama (Old Klang Road),1080000.0,1875.0,4,4,2,Condominium,Intermediate,Partly Furnished
Pantai,570000.0,1200.0,3,2,1,Condominium,Corner,Partly Furnished
Mont Kiara,1880000.0,2243.0,4,3,2,Condominium,Standard,Partly Furnished
Mont Kiara,1685000.0,2038.0,4,3,2,Condominium,Standard,Partly Furnished
Bukit Jalil,550000.0,1073.0,3,2,2,Condominium,Intermediate,Partly Furnished
KLCC,2500000.0,1023.0,1,2,1,Serviced Residence,Standard,Partly Furnished
KLCC,780000.0,497.0,0,1,0,Serviced Residence,Intermediate,Fully Furnished
Bukit Bintang,2044800.0,912.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Bukit Jalil,1250000.0,1700.0,4,4,2,Condominium,Standard,Fully Furnished
Mont Kiara,1420000.0,1496.0,4,4,2,Condominium,Standard,Partly Furnished
Bukit Jalil,565000.0,1100.0,3,2,2,Condominium,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),670000.0,907.0,3,2,2,Serviced Residence,Standard,Fully Furnished
KLCC,1000000.0,657.0,1,1,1,Condominium,Standard,Partly Furnished
City Centre,830000.0,1072.0,2,2,1,Condominium,Intermediate,Fully Furnished
City Centre,1100000.0,2111.0,4,4,2,Condominium,Intermediate,Partly Furnished
Mont Kiara,1000000.0,1000.0,2,2,0,Serviced Residence,Standard,Partly Furnished
Mont Kiara,1780000.0,1523.0,3,3,2,Serviced Residence,Corner,Partly Furnished
KLCC,2270000.0,1076.0,2,2,0,Serviced Residence,Intermediate,Partly Furnished
Sentul,375000.0,743.0,2,2,1,Serviced Residence,Standard,Unfurnished
KLCC,970000.0,603.0,1,1,1,Serviced Residence,Intermediate,Fully Furnished
Bukit Jalil,900000.0,1513.0,4,3,2,Condominium,Corner,Partly Furnished
KLCC,2200000.0,1888.0,4,3,0,Serviced Residence,Standard,Partly Furnished
Desa ParkCity,2300000.0,2454.0,5,5,3,Condominium,Corner,Partly Furnished
Setapak,520000.0,1450.0,4,2,2,Condominium,Corner,Partly Furnished
KL City,1420000.0,1582.0,4,3,2,Serviced Residence,Corner,Fully Furnished
KL Sentral,1065140.0,1025.0,3,3,2,Serviced Residence,Corner,Partly Furnished
Desa ParkCity,1330000.0,1292.0,0,0,2,Condominium,Intermediate,Fully Furnished
KLCC,1299000.0,900.0,2,2,1,Serviced Residence,Corner,Fully Furnished
Bukit Jalil,850000.0,1335.0,3,2,2,Condominium,Standard,Fully Furnished
Mont Kiara,1850000.0,2020.0,4,3,2,Condominium,Standard,Fully Furnished
KLCC,1000000.0,811.0,3,2,1,Serviced Residence,Standard,Fully Furnished
Bukit Bintang,1000000.0,1012.0,0,2,1,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),550000.0,775.0,1,2,1,Serviced Residence,Intermediate,Fully Furnished
KLCC,1000000.0,849.0,3,2,1,Serviced Residence,Intermediate,Fully Furnished
City Centre,1730000.0,1442.0,3,3,1,Serviced Residence,Corner,Fully Furnished
Sungai Besi,630000.0,1025.0,3,2,2,Serviced Residence,Standard,Partly Furnished
Bukit Jalil,900000.0,1170.0,3,2,2,Serviced Residence,Standard,Partly Furnished
Setapak,428000.0,918.0,3,0,2,Serviced Residence,Intermediate,Unfurnished
Sungai Besi,800000.0,1430.0,3,3,2,Serviced Residence,Standard,Partly Furnished
